Dataset,IoU,Dice,mAP@0.5
Train,0.940084708766201,0.9684936992091807,0.7597187869205143
Validation,0.939001447177642,0.9672616989930145,0.7685668032301877
Test,0.9283369317684893,0.9705174845260242,0.7726825638045951
